STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
17400,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17400.00,4682,-611,-11.543548082372943,24935,76.09,0.05,-0.5499999999999999,-91.66666666666666,0,55300,0,0.0,13550,0.05,19979.15
17450,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17450.00,4,0,0.0,0,0.0,0.0,0.0,0.0,4500,4500,1750,2350.8,1000,2602.05,19979.15
17450,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17450.00,2909,818,39.12003825920612,10992,74.61,0.05,-0.6499999999999999,-92.85714285714285,0,53150,0,0.0,2750,0.05,19979.15
17500,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17500.00,26,-15,-36.58536585365854,33,108.81,2477.0,129.6500000000001,5.523249621914077,4500,6100,1750,2298.85,800,2529.5,19979.15
17500,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17500.00,30398,-34992,-53.5127695366264,185280,73.13,0.05,-0.7999999999999999,-94.11764705882352,0,55650,0,0.0,350,0.05,19979.15
17550,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17550.00,11,0,0.0,0,0.0,0.0,0.0,0.0,5000,5000,1750,2273.45,500,2492.9,19979.15
17550,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17550.00,2596,685,35.8451072736787,13943,71.65,0.05,-0.75,-93.75,0,64050,0,0.0,16100,0.05,19979.15
17600,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17600.00,13,0,0.0,2,0.0,2220.0,90.0,4.225352112676056,5750,5750,500,2345.25,250,2398.7,19979.15
17600,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17600.00,8159,-4644,-36.27274857455284,28475,70.18,0.05,-0.7999999999999999,-94.11764705882352,0,47850,0,0.0,2700,0.05,19979.15
17650,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17650.00,30,0,0.0,0,0.0,0.0,0.0,0.0,5500,5500,500,2294.7,250,2348.25,19979.15
17650,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17650.00,2890,1388,92.41011984021306,12676,72.21,0.1,-0.7000000000000001,-87.5,0,52100,0,0.0,350,0.1,19979.15
17700,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17700.00,25,-5,-16.666666666666668,25,91.04,2275.0,465.0,25.69060773480663,4500,4500,1750,2119.1,1000,2340.05,19979.15
17700,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17700.00,3375,-1949,-36.60781367392938,16817,67.23,0.05,-0.7,-93.33333333333331,0,49400,0,0.0,6300,0.1,19979.15
